seed,architecture,snr_db,channel,achieved_snr_db,mse_frequency,latency_ms_per_window,ess,acceptance_rate
0,Analytical score,15.0,NLOS,15.040817520673244,14.911004445319854,40.39178625,7.8278307139924825,0.8272727272727272
1,Amortized surrogate,-5.0,LOS,-5.119079598017457,95.31789131484254,62.5758885,16.771698517070572,0.7931818181818182
1,Analytical score,-5.0,LOS,-5.119079598017457,73.72496303891953,48.2768905,23.57259972033423,0.8068181818181819
1,Amortized surrogate,-5.0,MP,-4.999600274288341,132.89617258407023,56.6967605,14.808759208541716,0.8045454545454546
1,Analytical score,-5.0,MP,-4.999600274288341,124.34011787250142,40.4809765,13.455835083373334,0.8181818181818181
1,Amortized surrogate,-5.0,NLOS,-5.391780827970754,23.20205785629463,57.05974875,10.473943117139308,0.7931818181818181
1,Analytical score,-5.0,NLOS,-5.391780827970754,21.74612002052738,40.43482825,8.85142246566595,0.8159090909090909
1,Amortized surrogate,5.0,LOS,5.5938830079265545,3.527389162048606,56.09332,10.793783132767471,0.7681818181818183
1,Analytical score,5.0,LOS,5.5938830079265545,5.535391142270004,40.418985,11.406300997603543,0.8045454545454546
1,Amortized surrogate,5.0,MP,5.606506148127051,13.342830490601592,56.45727725,15.5921758527527,0.7886363636363637
1,Analytical score,5.0,MP,5.606506148127051,12.196671489922082,39.81194675,15.883938485075188,0.7931818181818181
1,Amortized surrogate,5.0,NLOS,4.629061470120644,0.5363286226019962,59.26917275,24.81744081919122,0.7977272727272726
1,Analytical score,5.0,NLOS,4.629061470120644,0.6725649826309194,41.419559,22.515034573051672,0.8022727272727272
1,Amortized surrogate,15.0,LOS,15.456731834465797,12.121113500223538,55.93496375,8.696001612696147,0.8090909090909091
1,Analytical score,15.0,LOS,15.456731834465797,11.922521308085965,40.60278625,12.63300897376726,0.8113636363636364
1,Amortized surrogate,15.0,MP,15.051347962234956,15.427250277686317,67.43941775,10.181644956975319,0.7999999999999999
1,Analytical score,15.0,MP,15.051347962234956,12.770777304691194,40.88027825,7.120546961518539,0.8068181818181818
1,Amortized surrogate,15.0,NLOS,14.60582710049254,29.397931367122027,60.3427205,13.320946193140834,0.8068181818181819
1,Analytical score,15.0,NLOS,14.60582710049254,32.423140585306584,42.877861,12.253949764387386,0.7863636363636364
2,Amortized surrogate,-5.0,LOS,-5.207781694208666,167.19454419338905,57.1606,12.935325581966906,0.8613636363636363
2,Analytical score,-5.0,LOS,-5.207781694208666,177.3563283303472,41.98594975,13.160548828871466,0.8363636363636364
2,Amortized surrogate,-5.0,MP,-5.987520080401165,251.10661941043742,58.43740925,7.612763834796451,0.7840909090909092
2,Analytical score,-5.0,MP,-5.987520080401165,210.98183100651346,40.0074375,9.62021741508628,0.8090909090909091
2,Amortized surrogate,-5.0,NLOS,-4.690347986117898,81.6685408500964,64.443805,18.59935499369,0.7909090909090909
2,Analytical score,-5.0,NLOS,-4.690347986117898,80.26186186460112,47.79902025,20.957864386421132,0.8090909090909091
2,Amortized surrogate,5.0,LOS,5.229860170427995,0.2282261739377818,69.758559,28.292178721450455,0.7681818181818181
2,Analytical score,5.0,LOS,5.229860170427995,0.4461417222169974,41.68945725,27.08979399494194,0.7636363636363637
2,Amortized surrogate,5.0,MP,4.155864750270623,14.567790477989478,57.94584875,41.3189854766269,0.7704545454545454
2,Analytical score,5.0,MP,4.155864750270623,14.213871785038952,44.8129215,42.78185797443191,0.7886363636363637
2,Amortized surrogate,5.0,NLOS,5.620499773724161,1.4487554432450112,57.52810725,29.472699889576568,0.8022727272727272
2,Analytical score,5.0,NLOS,5.620499773724161,0.5577547103651205,39.640729,32.01234209703309,0.8
2,Amortized surrogate,15.0,LOS,15.481962887737808,2.33865214223037,56.95065775,20.729955864688183,0.7977272727272727
2,Analytical score,15.0,LOS,15.481962887737808,2.095380953450828,40.91504675,21.335290243903327,0.7909090909090909
2,Amortized surrogate,15.0,MP,15.204041921779407,3.8816678820941655,56.49834025,18.953732449292048,0.7318181818181818
2,Analytical score,15.0,MP,15.204041921779407,2.205474301114692,41.775742,18.490745780694613,0.7636363636363637
2,Amortized surrogate,15.0,NLOS,14.913229073400736,7.048321732303197,59.129493,24.001358074969158,0.7545454545454545
2,Analytical score,15.0,NLOS,14.913229073400736,2.1314886874535275,40.80103375,24.849984116114,0.7909090909090909
3,Amortized surrogate,-5.0,LOS,-4.435383317156271,122.72056894104978,57.95396825,5.334807558259478,0.759090909090909
